RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,year,measure
108,108,Ken Duke,104,0.019,1.726,90,2012,sg_off_tee
109,109,Steve Wheatcroft,56,0.001,0.053,42,2012,sg_off_tee
110,110,Stuart Appleby,75,-0.003,-0.193,65,2012,sg_off_tee
111,111,Garth Mulroy,59,-0.004,-0.2,46,2012,sg_off_tee
T112,T112,Brian Davis,91,-0.012,-0.98,79,2012,sg_off_tee
T112,T112,Jhonattan Vegas,77,-0.012,-0.801,69,2012,sg_off_tee
114,114,Nick Watney,97,-0.016,-1.186,76,2012,sg_off_tee
115,115,Jerry Kelly,84,-0.018,-1.288,73,2012,sg_off_tee
116,116,David Hearn,95,-0.022,-1.899,88,2012,sg_off_tee
117,117,Johnson Wagner,88,-0.027,-2.055,76,2012,sg_off_tee
T118,T118,Chad Campbell,84,-0.04,-2.89,73,2012,sg_off_tee
T118,T118,Robert Karlsson,54,-0.04,-1.648,41,2012,sg_off_tee
120,120,Miguel Angel Carballo,73,-0.042,-2.378,57,2012,sg_off_tee
T121,T121,Ben Curtis,62,-0.044,-2.1,48,2012,sg_off_tee
T121,T121,Jason Kokrak,79,-0.044,-3.041,69,2012,sg_off_tee
123,123,Matt Every,80,-0.051,-3.28,64,2012,sg_off_tee
124,124,J.J. Killeen,101,-0.063,-5.272,84,2012,sg_off_tee
125,125,Troy Matteson,100,-0.066,-5.454,83,2012,sg_off_tee
126,126,Freddie Jacobson,61,-0.071,-3.126,44,2012,sg_off_tee
127,127,Alexandre Rocha,62,-0.083,-4.136,50,2012,sg_off_tee
128,128,John Mallinger,74,-0.086,-5.389,63,2012,sg_off_tee
129,129,William McGirt,96,-0.092,-7.244,79,2012,sg_off_tee
130,130,Jonas Blixt,72,-0.1,-6.377,64,2012,sg_off_tee
131,131,Phil Mickelson,79,-0.103,-6.207,60,2012,sg_off_tee
132,132,Rocco Mediate,70,-0.106,-6.156,58,2012,sg_off_tee
T133,T133,Aaron Baddeley,73,-0.108,-5.945,55,2012,sg_off_tee
T133,T133,Tommy Gainey,98,-0.108,-9.737,90,2012,sg_off_tee
135,135,Jason Bohn,81,-0.11,-7.249,66,2012,sg_off_tee
136,136,Y.E. Yang,64,-0.118,-5.682,48,2012,sg_off_tee
137,137,Arjun Atwal,79,-0.132,-8.71,66,2012,sg_off_tee
138,138,Trevor Immelman,76,-0.14,-7.967,57,2012,sg_off_tee
139,139,George McNeill,85,-0.149,-10.591,71,2012,sg_off_tee
140,140,Roland Thatcher,55,-0.156,-6.858,44,2012,sg_off_tee
141,141,Luke Donald,63,-0.188,-9.03,48,2012,sg_off_tee
142,142,"Ted Potter, Jr.",77,-0.191,-11.657,61,2012,sg_off_tee
143,143,Matt Jones,53,-0.192,-8.429,44,2012,sg_off_tee
144,144,Charlie Wi,86,-0.197,-14.398,73,2012,sg_off_tee
145,145,Ryo Ishikawa,54,-0.199,-7.355,37,2012,sg_off_tee
146,146,Danny Lee,74,-0.202,-11.906,59,2012,sg_off_tee
147,147,David Mathis,83,-0.203,-14,69,2012,sg_off_tee
148,148,Kyle Thompson,51,-0.204,-7.538,37,2012,sg_off_tee
149,149,Spencer Levin,81,-0.207,-13.64,66,2012,sg_off_tee
150,150,Marc Leishman,84,-0.209,-15.899,76,2012,sg_off_tee
151,151,Troy Kelly,68,-0.211,-10.762,51,2012,sg_off_tee
152,152,Andres Romero,68,-0.216,-11.652,54,2012,sg_off_tee
153,153,Mark Anderson,75,-0.217,-13.208,61,2012,sg_off_tee
154,154,Jonathan Byrd,69,-0.22,-12.333,56,2012,sg_off_tee
155,155,Cameron Beckman,81,-0.226,-15.619,69,2012,sg_off_tee
156,156,Chris Stroud,86,-0.236,-17.723,75,2012,sg_off_tee
157,157,Jimmy Walker,101,-0.243,-22.157,91,2012,sg_off_tee
T158,T158,Kevin Na,80,-0.255,-16.586,65,2012,sg_off_tee
T158,T158,Mark Wilson,84,-0.255,-17.341,68,2012,sg_off_tee
160,160,Brandt Snedeker,81,-0.276,-17.939,65,2012,sg_off_tee
161,161,Stephen Ames,54,-0.277,-10.809,39,2012,sg_off_tee
162,162,Dicky Pride,62,-0.287,-14.07,49,2012,sg_off_tee
163,163,Ricky Barnes,92,-0.29,-23.74,82,2012,sg_off_tee
164,164,Vaughn Taylor,81,-0.327,-20.913,64,2012,sg_off_tee
165,165,Greg Chalmers,88,-0.335,-25.134,75,2012,sg_off_tee
166,166,Brian Gay,91,-0.364,-28.376,78,2012,sg_off_tee
167,167,Chris DiMarco,83,-0.371,-26.699,72,2012,sg_off_tee
168,168,Michael Thompson,80,-0.375,-24.391,65,2012,sg_off_tee
169,169,Justin Leonard,79,-0.401,-27.24,68,2012,sg_off_tee
170,170,Robert Allenby,76,-0.449,-29.663,66,2012,sg_off_tee
171,171,Bob Estes,78,-0.454,-29.521,65,2012,sg_off_tee
172,172,Patrick Sheehan,58,-0.468,-20.613,44,2012,sg_off_tee
173,173,Nathan Green,73,-0.479,-27.318,57,2012,sg_off_tee
174,174,Stewart Cink,71,-0.485,-26.174,54,2012,sg_off_tee
175,175,Daniel Chopra,55,-0.489,-21.024,43,2012,sg_off_tee
176,176,James Driscoll,83,-0.525,-36.735,70,2012,sg_off_tee
177,177,Tommy Biershenk,74,-0.551,-31.964,58,2012,sg_off_tee
178,178,Matt Bettencourt,80,-0.558,-33.488,60,2012,sg_off_tee
179,179,Colt Knost,79,-0.566,-37.942,67,2012,sg_off_tee
180,180,Brendon Todd,78,-0.57,-35.903,63,2012,sg_off_tee
181,181,Marco Dawson,60,-0.606,-27.876,46,2012,sg_off_tee
182,182,Sung Kang,75,-0.628,-38.918,62,2012,sg_off_tee
183,183,Bryce Molder,83,-0.632,-44.88,71,2012,sg_off_tee
184,184,Gavin Coles,72,-0.676,-38.525,57,2012,sg_off_tee
185,185,Derek Lamely,64,-0.754,-42.203,56,2012,sg_off_tee
186,186,Nick O'Hern,78,-0.86,-58.494,68,2012,sg_off_tee
187,187,Ryuji Imada,78,-0.919,-63.427,69,2012,sg_off_tee
188,188,Tom Pernice Jr.,62,-0.921,-47.89,52,2012,sg_off_tee
189,189,Stephen Gangluff,57,-0.932,-40.09,43,2012,sg_off_tee
190,190,Billy Hurley III,70,-0.967,-55.126,57,2012,sg_off_tee
191,191,Michael Bradley,63,-1.146,-63.02,55,2012,sg_off_tee
