RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,year,measure
134,134,Ben Martin,93,-0.1,-7.676,77,2015,sg_around_green
135,135,Lee Westwood,56,-0.102,-3.276,32,2015,sg_around_green
T136,T136,Scott Brown,97,-0.111,-8.955,81,2015,sg_around_green
T136,T136,Lucas Glover,79,-0.111,-7.994,72,2015,sg_around_green
138,138,Fabián Gómez,83,-0.113,-7.828,69,2015,sg_around_green
139,139,Bo Van Pelt,81,-0.126,-8.211,65,2015,sg_around_green
140,140,Scott Pinckney,88,-0.14,-10.36,74,2015,sg_around_green
T141,T141,Derek Ernst,75,-0.144,-9.052,63,2015,sg_around_green
T141,T141,Jason Kokrak,88,-0.144,-11.516,80,2015,sg_around_green
143,143,Brendon de Jonge,106,-0.152,-13.982,92,2015,sg_around_green
144,144,Blayne Barber,76,-0.154,-9.704,63,2015,sg_around_green
145,145,Carlos Ortiz,100,-0.166,-13.762,83,2015,sg_around_green
146,146,Scott Piercy,90,-0.172,-14.278,83,2015,sg_around_green
147,147,John Peterson,84,-0.175,-13.474,77,2015,sg_around_green
148,148,Sangmoon Bae,98,-0.176,-15.454,88,2015,sg_around_green
149,149,Paul Casey,87,-0.182,-11.448,63,2015,sg_around_green
150,150,Alex Prugh,84,-0.183,-13.153,72,2015,sg_around_green
151,151,Nick Taylor,91,-0.185,-15.368,83,2015,sg_around_green
152,152,Daniel Summerhays,101,-0.186,-16.569,89,2015,sg_around_green
153,153,Eric Axley,57,-0.189,-8.116,43,2015,sg_around_green
154,154,Roger Sloan,56,-0.19,-7.581,40,2015,sg_around_green
155,155,Russell Henley,87,-0.191,-12.778,67,2015,sg_around_green
156,156,Shawn Stefani,94,-0.192,-16.938,88,2015,sg_around_green
157,157,Adam Scott,51,-0.195,-6.238,32,2015,sg_around_green
158,158,Johnson Wagner,68,-0.201,-11.477,57,2015,sg_around_green
159,159,Jonathan Randolph,72,-0.208,-11.655,56,2015,sg_around_green
T160,T160,Dustin Johnson,75,-0.212,-11.466,54,2015,sg_around_green
T160,T160,Jhonattan Vegas,90,-0.212,-15.23,72,2015,sg_around_green
162,162,Robert Allenby,63,-0.213,-10.841,51,2015,sg_around_green
163,163,Kevin Streelman,95,-0.216,-15.76,73,2015,sg_around_green
T164,T164,Daniel Berger,97,-0.217,-17.979,83,2015,sg_around_green
T164,T164,Robert Garrigus,70,-0.217,-11.944,55,2015,sg_around_green
166,166,Max Homa,78,-0.218,-13.512,62,2015,sg_around_green
167,167,Chesson Hadley,101,-0.227,-20.231,89,2015,sg_around_green
168,168,Bill Lunde,50,-0.242,-8.697,36,2015,sg_around_green
169,169,Ken Duke,93,-0.248,-19.32,78,2015,sg_around_green
170,170,Spencer Levin,99,-0.25,-20.752,83,2015,sg_around_green
171,171,Stewart Cink,77,-0.282,-18.602,66,2015,sg_around_green
172,172,Gary Woodland,81,-0.284,-15.346,54,2015,sg_around_green
173,173,Billy Horschel,99,-0.301,-21.981,73,2015,sg_around_green
174,174,Charley Hoffman,97,-0.338,-25.665,76,2015,sg_around_green
175,175,Chez Reavie,56,-0.34,-17.004,50,2015,sg_around_green
176,176,Jim Herman,88,-0.345,-26.579,77,2015,sg_around_green
177,177,Sam Saunders,83,-0.372,-23.465,63,2015,sg_around_green
178,178,Jason Gore,76,-0.393,-22.777,58,2015,sg_around_green
179,179,Hudson Swafford,97,-0.404,-33.52,83,2015,sg_around_green
180,180,Charlie Beljan,76,-0.424,-24.16,57,2015,sg_around_green
181,181,Ángel Cabrera,53,-0.428,-17.984,42,2015,sg_around_green
182,182,Nicholas Thompson,90,-0.45,-31.513,70,2015,sg_around_green
183,183,Andrew Svoboda,80,-0.46,-32.202,70,2015,sg_around_green
184,184,Oscar Fraustro,58,-0.655,-26.202,40,2015,sg_around_green
