RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,TOTAL,DISTANCE RANK,ACCURACY RANK,year,measure
T111,T98,Adam Scott,16,204,30,174,2004,total_driving
T111,T93,Sergio Garcia,18,204,33,171,2004,total_driving
115,T113,Tim Petrovic,32,205,97,108,2004,total_driving
116,T118,Rich Barcelo,26,206,43,163,2004,total_driving
117,T118,Pat Bates,32,207,181,26,2004,total_driving
T118,T113,Darren Clarke,16,208,78,130,2004,total_driving
T118,T120,Justin Rose,22,208,65,143,2004,total_driving
T120,T123,Rory Sabbatini,26,209,48,161,2004,total_driving
T120,122,Shaun Micheel,27,209,93,116,2004,total_driving
T122,T120,Tom Carter,35,210,24,186,2004,total_driving
T122,T123,Alex Cejka,24,210,110,100,2004,total_driving
124,T123,Carl Pettersson,28,211,64,147,2004,total_driving
T125,T123,Brenden Pappas,34,212,17,195,2004,total_driving
T125,T128,Corey Pavin,23,212,196,16,2004,total_driving
T125,T128,Guy Boros,24,212,149,63,2004,total_driving
T125,T123,Jay Delsing,26,212,79,133,2004,total_driving
T129,131,Jeff Sluman,28,213,165,48,2004,total_driving
T129,130,Tim Herron,26,213,40,173,2004,total_driving
131,132,Brett Quigley,31,214,37,177,2004,total_driving
132,T134,Steve Pate,24,216,128,88,2004,total_driving
T133,136,Chris DiMarco,27,217,176,41,2004,total_driving
T133,133,Niclas Fasth,22,217,77,140,2004,total_driving
T135,T137,Dan Olsen,31,219,25,194,2004,total_driving
T135,T137,Ben Crane,27,219,125,94,2004,total_driving
T137,T137,Mathias Grönberg,32,220,50,170,2004,total_driving
T137,T137,David Morland IV,27,220,188,32,2004,total_driving
T137,142,Gene Sauers,30,220,156,64,2004,total_driving
T140,T146,Danny Ellis,26,221,101,120,2004,total_driving
T140,141,Arjun Atwal,30,221,73,148,2004,total_driving
T142,T146,Stephen Leaney,24,223,135,88,2004,total_driving
T142,T143,Loren Roberts,22,223,195,28,2004,total_driving
144,T146,Joe Ogilvie,32,224,79,145,2004,total_driving
T145,149,Neal Lancaster,33,227,52,175,2004,total_driving
T145,150,Len Mattiace,25,227,173,54,2004,total_driving
T145,T134,Carlos Franco,27,227,69,158,2004,total_driving
T148,T152,Dudley Hart,23,228,113,115,2004,total_driving
T148,T143,David Toms,24,228,117,111,2004,total_driving
150,T143,Steve Flesch,31,229,161,68,2004,total_driving
151,T154,Russ Cochran,25,230,155,75,2004,total_driving
T152,T154,Esteban Toledo,36,231,182,49,2004,total_driving
T152,T152,Nick Price,15,231,188,43,2004,total_driving
154,T154,Greg Chalmers,22,233,94,139,2004,total_driving
T155,T157,Bob Burns,30,235,180,55,2004,total_driving
T155,159,Ben Curtis,20,235,138,97,2004,total_driving
157,151,Stewart Cink,28,238,70,168,2004,total_driving
T158,T157,Mike Weir,22,239,138,101,2004,total_driving
T158,T160,Michael Allen,28,239,60,179,2004,total_driving
T158,T160,Lee Janzen,25,239,107,132,2004,total_driving
T161,162,Dan Forsman,28,240,142,98,2004,total_driving
T161,163,Grant Waite,29,240,83,157,2004,total_driving
T163,T164,Tripp Isenhour,22,242,106,136,2004,total_driving
T163,T164,Jesper Parnevik,24,242,89,153,2004,total_driving
165,166,Mark Brooks,31,243,184,59,2004,total_driving
166,167,Mark O'Meara,17,245,187,58,2004,total_driving
T167,168,Brian Gay,32,248,163,85,2004,total_driving
T167,169,Kevin Muncrief,21,248,65,183,2004,total_driving
T169,T170,David Peoples,26,251,146,105,2004,total_driving
T169,T170,Steve Lowery,28,251,79,172,2004,total_driving
171,172,David Frost,26,252,186,66,2004,total_driving
T172,T173,Cliff Kresge,33,253,131,122,2004,total_driving
T172,175,Dean Wilson,33,253,136,117,2004,total_driving
174,T176,Jay Haas,23,259,183,76,2004,total_driving
175,180,Bernhard Langer,15,260,136,124,2004,total_driving
T176,T178,Blaine McCallister,27,261,151,110,2004,total_driving
T176,T176,Craig Perks,27,261,73,188,2004,total_driving
T178,T173,Shigeki Maruyama,26,264,157,107,2004,total_driving
T178,181,John Riegger,17,264,120,144,2004,total_driving
180,T178,K.J. Choi,24,266,120,146,2004,total_driving
181,183,Bob Estes,23,272,170,102,2004,total_driving
182,182,Freddie Jacobson,24,273,89,184,2004,total_driving
183,184,Bob Tway,26,275,170,105,2004,total_driving
184,185,Aaron Baddeley,27,278,87,191,2004,total_driving
185,186,Tommy Tolles,25,282,92,190,2004,total_driving
186,187,Billy Andrade,31,283,128,155,2004,total_driving
187,T189,Ken Duke,30,287,124,163,2004,total_driving
188,T189,Craig Parry,16,288,179,109,2004,total_driving
189,192,Todd Fischer,33,294,157,137,2004,total_driving
T190,188,Todd Hamilton,27,295,128,167,2004,total_driving
T190,191,Paul Azinger,23,295,119,176,2004,total_driving
192,193,Chris Riley,23,311,176,135,2004,total_driving
193,194,David Gossett,25,312,125,187,2004,total_driving
194,195,Brad Faxon,28,326,185,141,2004,total_driving
195,196,Steve Stricker,27,337,144,193,2004,total_driving
196,197,José María Olazábal,17,353,175,178,2004,total_driving
