RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,year,measure
T83,T83,Russell Henley,80,289,"45,082",156,2013,avg_driv_dist
T83,T83,Chris Kirk,89,289,"51,441",178,2013,avg_driv_dist
85,86,Chad Campbell,78,288.9,"43,914",152,2013,avg_driv_dist
86,87,Aaron Baddeley,68,288.5,"38,086",132,2013,avg_driv_dist
T87,T88,Scott Gardiner,61,288.4,"34,037",118,2013,avg_driv_dist
T87,T88,Martin Kaymer,61,288.4,"33,457",116,2013,avg_driv_dist
89,90,Padraig Harrington,52,288.3,"28,253",98,2013,avg_driv_dist
90,94,Bill Haas,85,288.2,"48,412",168,2013,avg_driv_dist
T91,T91,Matt Every,89,288.1,"51,278",178,2013,avg_driv_dist
T91,T91,Vijay Singh,61,288.1,"35,154",122,2013,avg_driv_dist
93,93,Phil Mickelson,78,287.9,"44,907",156,2013,avg_driv_dist
T94,T95,Kevin Streelman,86,287.5,"49,445",172,2013,avg_driv_dist
T94,T95,Brian Harman,89,287.5,"48,873",170,2013,avg_driv_dist
T94,T95,Bud Cauley,67,287.5,"36,225",126,2013,avg_driv_dist
97,99,Freddie Jacobson,63,287.3,"34,471",120,2013,avg_driv_dist
T98,T100,Robert Karlsson,56,287.2,"29,865",104,2013,avg_driv_dist
T98,T100,Cameron Tringale,80,287.2,"45,950",160,2013,avg_driv_dist
100,102,James Driscoll,76,287.1,"41,348",144,2013,avg_driv_dist
101,103,Y.E. Yang,56,286.7,"31,828",111,2013,avg_driv_dist
102,104,Marc Leishman,77,286.6,"43,846",153,2013,avg_driv_dist
103,105,Rickie Fowler,75,286.4,"42,106",147,2013,avg_driv_dist
T104,T107,Brendon de Jonge,110,286.3,"62,976",220,2013,avg_driv_dist
T104,106,Tom Gillis,69,286.3,"37,217",130,2013,avg_driv_dist
106,T107,George McNeill,68,286,"38,893",136,2013,avg_driv_dist
T107,T120,Jason Dufner,78,285.9,"44,026",154,2013,avg_driv_dist
T107,109,Bo Van Pelt,72,285.9,"39,743",139,2013,avg_driv_dist
109,110,David Lingmerth,68,285.8,"38,875",136,2013,avg_driv_dist
110,111,Daniel Summerhays,83,285.7,"47,421",166,2013,avg_driv_dist
111,T115,Webb Simpson,92,285.4,"49,937",175,2013,avg_driv_dist
T112,T112,Sangmoon Bae,83,285.3,"47,365",166,2013,avg_driv_dist
T112,T112,Michael Bradley,56,285.3,"29,670",104,2013,avg_driv_dist
114,114,Geoff Ogilvy,57,285.1,"32,496",114,2013,avg_driv_dist
115,T115,Bob Estes,66,285,"37,624",132,2013,avg_driv_dist
T116,T117,Robert Allenby,58,284.9,"31,910",112,2013,avg_driv_dist
T116,119,Matt Kuchar,93,284.9,"49,573",174,2013,avg_driv_dist
T116,T117,Will Claxton,67,284.9,"35,893",126,2013,avg_driv_dist
T119,T120,J.J. Henry,83,284.7,"45,843",161,2013,avg_driv_dist
T119,T120,Stuart Appleby,88,284.7,"47,834",168,2013,avg_driv_dist
121,123,Alistair Presnell,59,284.6,"32,446",114,2013,avg_driv_dist
122,T124,John Merrick,79,284.3,"44,918",158,2013,avg_driv_dist
123,126,Jonas Blixt,76,283.7,"42,837",151,2013,avg_driv_dist
T124,T127,Tim Herron,45,283.6,"25,523",90,2013,avg_driv_dist
T124,130,Steve Stricker,51,283.6,"26,658",94,2013,avg_driv_dist
T124,T127,Trevor Immelman,73,283.6,"39,143",138,2013,avg_driv_dist
127,129,Luke Guthrie,82,283.5,"46,490",164,2013,avg_driv_dist
128,131,Chez Reavie,72,282.8,"40,721",144,2013,avg_driv_dist
129,132,Rod Pampling,46,282.6,"23,736",84,2013,avg_driv_dist
T130,134,Ryan Moore,72,282.3,"40,093",142,2013,avg_driv_dist
T130,133,Roberto Castro,97,282.3,"54,478",193,2013,avg_driv_dist
132,135,Charlie Wi,75,282.1,"40,061",142,2013,avg_driv_dist
133,136,John Huh,88,282,"48,792",173,2013,avg_driv_dist
T134,T137,Brian Stuard,78,281.8,"41,704",148,2013,avg_driv_dist
T134,T137,William McGirt,75,281.8,"42,266",150,2013,avg_driv_dist
136,139,Ian Poulter,59,281.7,"29,859",106,2013,avg_driv_dist
137,T146,Brandt Snedeker,79,281.3,"44,440",158,2013,avg_driv_dist
138,T143,D.A. Points,87,281.1,"48,905",174,2013,avg_driv_dist
139,140,Ben Crane,62,281,"32,592",116,2013,avg_driv_dist
140,141,D.H. Lee,65,280.9,"36,522",130,2013,avg_driv_dist
141,142,Stephen Ames,49,280.7,"27,511",98,2013,avg_driv_dist
142,T143,David Mathis,71,280.6,"37,598",134,2013,avg_driv_dist
143,145,Casey Wittenberg,72,280.5,"39,275",140,2013,avg_driv_dist
144,T146,"Ted Potter, Jr.",65,280.3,"34,194",122,2013,avg_driv_dist
145,148,Doug LaBelle II,72,280.1,"39,215",140,2013,avg_driv_dist
146,149,Justin Hicks,79,280,"42,003",150,2013,avg_driv_dist
147,150,David Hearn,88,279.7,"49,231",176,2013,avg_driv_dist
148,151,Michael Thompson,66,279.4,"36,878",132,2013,avg_driv_dist
T149,T152,Richard Lee,81,279.1,"42,975",154,2013,avg_driv_dist
T149,T152,Justin Bolli,59,279.1,"30,706",110,2013,avg_driv_dist
151,154,Ben Kohles,75,279,"39,615",142,2013,avg_driv_dist
152,155,Scott Langley,79,278.9,"41,834",150,2013,avg_driv_dist
T153,158,Zach Johnson,84,278.8,"46,275",166,2013,avg_driv_dist
T153,156,Brian Davis,91,278.8,"50,734",182,2013,avg_driv_dist
155,157,Johnson Wagner,64,278.6,"33,436",120,2013,avg_driv_dist
156,159,K.J. Choi,85,278.3,"46,748",168,2013,avg_driv_dist
157,169,Luke Donald,60,278.1,"32,262",116,2013,avg_driv_dist
158,T160,Mark Wilson,56,278,"28,911",104,2013,avg_driv_dist
159,162,David Lynn,70,277.9,"38,077",137,2013,avg_driv_dist
160,163,Jeff Maggert,63,277.6,"34,980",126,2013,avg_driv_dist
161,164,Graeme McDowell,53,277.5,"26,916",97,2013,avg_driv_dist
162,165,David Toms,49,277.4,"24,133",87,2013,avg_driv_dist
163,166,Aaron Watkins,46,277.1,"24,388",88,2013,avg_driv_dist
164,167,Chris Stroud,88,277,"48,753",176,2013,avg_driv_dist
165,168,Greg Chalmers,77,276.8,"40,414",146,2013,avg_driv_dist
T166,T170,Justin Leonard,86,276.3,"47,520",172,2013,avg_driv_dist
T166,T170,Jason Bohn,70,276.3,"38,680",140,2013,avg_driv_dist
168,172,Lee Williams,62,275.6,"33,068",120,2013,avg_driv_dist
169,T177,Jim Furyk,80,275.3,"42,952",156,2013,avg_driv_dist
T170,T173,Brian Gay,79,275.1,"43,193",157,2013,avg_driv_dist
T170,T173,Ken Duke,87,275.1,"47,871",174,2013,avg_driv_dist
T170,T173,Darron Stiles,51,275.1,"26,964",98,2013,avg_driv_dist
173,176,Ben Curtis,59,274.9,"31,333",114,2013,avg_driv_dist
174,T177,Dicky Pride,71,274.8,"36,825",134,2013,avg_driv_dist
175,179,Tim Clark,64,273.9,"33,143",121,2013,avg_driv_dist
176,180,Bryce Molder,82,273.8,"43,801",160,2013,avg_driv_dist
T177,T181,Jerry Kelly,75,273.2,"40,984",150,2013,avg_driv_dist
T177,T181,Jin Park,52,273.2,"27,321",100,2013,avg_driv_dist
179,183,Colt Knost,69,271.7,"35,317",130,2013,avg_driv_dist
180,184,Mike Weir,60,270.5,"31,380",116,2013,avg_driv_dist
